vin;iin;d1;d2;vout;iout;pin;pout;losses
113.806;4.568;0.7525;0.1613;100.291;5.003;519.865808;501.755873;18.109935
106.866;4.879;0.7525;0.2151;100.39;5.003;521.399214;502.25117;19.148044
101.716;5.111;0.7525;0.2509;99.9;5.003;519.870476;499.7997;20.070776
94.541;5.504;0.7525;0.3047;99.664;5.003;520.353664;498.618992;21.734672
88.141;5.963;0.7525;0.3584;100.315;5.002;525.584783;501.77563;23.809153
80.963;6.51;0.7525;0.4122;100.03;5.002;527.06913;500.35006;26.71907
74.239;7.172;0.7525;0.465;100.268;5.002;532.442108;501.540536;30.901572
67.207;7.99;0.7525;0.5197;99.962;5.001;536.98393;499.909962;37.073968
65.173;8.309;0.7525;0.5375;100.357;5.001;541.522457;501.885357;39.6371
119.469;4.341;0.8063;0.0538;100.306;5.003;518.614929;501.830918;16.784011
112.77;4.599;0.8063;0.1075;100.229;5.003;518.62923;501.445687;17.183543
106.389;4.891;0.8063;0.1613;100.492;5.003;520.348599;502.761476;17.587123
99.831;5.224;0.8063;0.2151;100.402;5.003;521.517144;502.311206;19.205938
95.071;5.472;0.8063;0.2509;99.963;5.002;520.228512;500.014926;20.213586
88.625;5.893;0.8063;0.3047;100.047;5.002;522.267125;500.435094;21.832031
86.415;6.385;0.8063;0.3584;100.417;5.002;551.759775;502.285834;49.473941
76.099;6.971;0.8063;0.4122;100.652;5.002;530.486129;503.461304;27.024825
69.406;7.679;0.8063;0.465;100.338;5.001;532.968674;501.790338;31.178336
63.149;8.55;0.8063;0.5197;100.521;5.001;539.92395;502.705521;37.218429
61.112;8.887;0.8063;0.5375;100.564;5.001;543.102344;502.920564;40.18178
127.973;4.056;0.7525;0.0538;100.265;5.005;519.058488;501.826325;17.232163
120.699;4.298;0.7525;0.1075;100.151;5.004;518.764302;501.155604;17.608698
113.615;4.57;0.7525;0.1613;100.1;5.005;519.22055;501.0005;18.22005
106.744;4.881;0.7525;0.2151;100.277;5.005;521.017464;501.886385;19.131079
102.063;5.113;0.7525;0.2509;100.244;5.005;521.848119;501.72122;20.126899
94.995;5.506;0.7525;0.3047;100.165;5.004;523.04247;501.22566;21.81681
88.102;5.965;0.7525;0.3584;100.283;5.004;525.52843;501.816132;23.712298
80.987;6.512;0.7525;0.4122;100.106;5.003;527.387344;500.830318;26.557026
74.053;7.174;0.7525;0.465;100.061;5.003;531.256222;500.605183;30.651039
67.374;7.993;0.7525;0.5197;100.277;5.003;538.520382;501.685831;36.834551
65.26;8.31;0.7525;0.5375;100.46;5.003;542.3106;502.60138;39.70922
118.968;4.629;0.86;0.0538;106.569;5.005;550.702872;533.377845;17.325027
106.115;4.904;0.86;0.1075;100.571;5.005;520.38796;503.357855;17.030105
99.935;5.216;0.86;0.1613;100.548;5.004;521.26096;503.142192;18.118768
